Name,League,Team,Stat,Versus,Prizepicks,Odds Type
Garrett Mitchell,MLB,MIL,Doubles,NYY,0.5,demon
Jasson Domínguez,MLB,NYY,Hits+Runs+RBIs,MIL,0.5,goblin
Sal Frelick,MLB,MIL,Total Bases,NYY,1.5,demon
Paul Goldschmidt,MLB,NYY,Walks,MIL,0.5,demon
Max Fried,MLB,NYY,Pitcher Strikeouts,MIL,5.0,standard
Jasson Domínguez,MLB,NYY,Runs,MIL,0.5,demon
Austin Wells,MLB,NYY,Runs,MIL,0.5,demon
Vinny Capra,MLB,MIL,Total Bases,NYY,1.5,demon
Austin Wells,MLB,NYY,Total Bases,MIL,2.5,demon
Jazz Chisholm Jr.,MLB,NYY,Walks,MIL,0.5,demon
Garrett Mitchell,MLB,MIL,Total Bases,NYY,2.5,demon
Cody Bellinger,MLB,NYY,Hits,MIL,0.5,goblin
Aaron Judge,MLB,NYY,Hitter Fantasy Score,MIL,7.5,standard
Cody Bellinger,MLB,NYY,RBIs,MIL,0.5,demon
Jackson Chourio,MLB,MIL,Doubles,NYY,0.5,demon
Paul Goldschmidt,MLB,NYY,Hits+Runs+RBIs,MIL,2.5,demon
Jazz Chisholm Jr.,MLB,NYY,Singles,MIL,0.5,demon
Christian Yelich,MLB,MIL,Runs,NYY,1.5,demon
Christian Yelich,MLB,MIL,Hits,NYY,1.5,demon
Joey Ortiz,MLB,MIL,Hits,NYY,0.5,goblin
Jasson Domínguez,MLB,NYY,Doubles,MIL,0.5,demon
Rhys Hoskins,MLB,MIL,Singles,NYY,0.5,demon
Christian Yelich,MLB,MIL,RBIs,NYY,0.5,demon
Jackson Chourio,MLB,MIL,RBIs,NYY,0.5,demon
Austin Wells,MLB,NYY,Walks,MIL,0.5,demon
Joey Ortiz,MLB,MIL,Runs,NYY,0.5,demon
Vinny Capra,MLB,MIL,Total Bases,NYY,3.5,demon
Jackson Chourio,MLB,MIL,Total Bases,NYY,4.5,demon
Paul Goldschmidt,MLB,NYY,Hits,MIL,1.5,demon
Jasson Domínguez,MLB,NYY,Total Bases,MIL,3.5,demon
Vinny Capra,MLB,MIL,Hits,NYY,1.5,demon
Brice Turang,MLB,MIL,Walks,NYY,0.5,demon
Brice Turang,MLB,MIL,Hits,NYY,1.5,demon
Aaron Judge,MLB,NYY,RBIs,MIL,1.5,demon
Anthony Volpe,MLB,NYY,Doubles,MIL,0.5,demon
Aaron Judge,MLB,NYY,Total Bases,MIL,4.5,demon
Jasson Domínguez,MLB,NYY,RBIs,MIL,1.5,demon
Aaron Judge,MLB,NYY,Runs,MIL,0.5,goblin
Aaron Judge,MLB,NYY,Runs,MIL,1.5,demon
Rhys Hoskins,MLB,MIL,Total Bases,NYY,1.5,demon
Austin Wells,MLB,NYY,Hits,MIL,1.5,demon
Jackson Chourio,MLB,MIL,Hits,NYY,0.5,goblin
Vinny Capra,MLB,MIL,Hits+Runs+RBIs,NYY,0.5,goblin
Sal Frelick,MLB,MIL,Total Bases,NYY,2.5,demon
Jackson Chourio,MLB,MIL,Hits,NYY,1.5,demon
Anthony Volpe,MLB,NYY,Hits,MIL,1.5,demon
Paul Goldschmidt,MLB,NYY,Total Bases,MIL,3.5,demon
Austin Wells,MLB,NYY,Hits+Runs+RBIs,MIL,1.5,demon
Rhys Hoskins,MLB,MIL,Total Bases,NYY,3.5,demon
Joey Ortiz,MLB,MIL,Total Bases,NYY,1.5,demon
Joey Ortiz,MLB,MIL,RBIs,NYY,0.5,demon
Austin Wells,MLB,NYY,Total Bases,MIL,1.5,demon
Sal Frelick,MLB,MIL,Hits,NYY,1.5,demon
Aaron Judge,MLB,NYY,Hits,MIL,1.5,demon
William Contreras,MLB,MIL,Hits,NYY,1.5,demon
Christian Yelich,MLB,MIL,Total Bases,NYY,1.5,demon
Cody Bellinger,MLB,NYY,Total Bases,MIL,1.5,demon
Paul Goldschmidt,MLB,NYY,Total Bases,MIL,4.5,demon
Jackson Chourio,MLB,MIL,Total Bases,NYY,0.5,goblin
Brice Turang,MLB,MIL,Total Bases,NYY,2.5,demon
Christian Yelich,MLB,MIL,Hits,NYY,0.5,goblin
William Contreras,MLB,MIL,Total Bases,NYY,0.5,goblin
Christian Yelich,MLB,MIL,Total Bases,NYY,0.5,goblin
Jackson Chourio,MLB,MIL,Walks,NYY,0.5,demon
Anthony Volpe,MLB,NYY,Total Bases,MIL,3.5,demon
William Contreras,MLB,MIL,Total Bases,NYY,2.5,demon
Jackson Chourio,MLB,MIL,Total Bases,NYY,3.5,demon
Jackson Chourio,MLB,MIL,Total Bases,NYY,2.5,demon
Vinny Capra,MLB,MIL,RBIs,NYY,1.5,demon
Austin Wells,MLB,NYY,Doubles,MIL,0.5,demon
Rhys Hoskins,MLB,MIL,Doubles,NYY,0.5,demon
Garrett Mitchell,MLB,MIL,Runs,NYY,0.5,demon
Rhys Hoskins,MLB,MIL,Hits,NYY,1.5,demon
Aaron Judge,MLB,NYY,Total Bases,MIL,0.5,goblin
William Contreras,MLB,MIL,Hits,NYY,0.5,goblin
Aaron Judge,MLB,NYY,Walks,MIL,0.5,goblin
Vinny Capra,MLB,MIL,Doubles,NYY,0.5,demon
William Contreras,MLB,MIL,Walks,NYY,0.5,demon
Jasson Domínguez,MLB,NYY,Walks,MIL,0.5,demon
William Contreras,MLB,MIL,Doubles,NYY,0.5,demon
Brice Turang,MLB,MIL,Doubles,NYY,0.5,demon
Austin Wells,MLB,NYY,Singles,MIL,0.5,demon
Paul Goldschmidt,MLB,NYY,RBIs,MIL,1.5,demon
Anthony Volpe,MLB,NYY,Hits,MIL,0.5,goblin
Cody Bellinger,MLB,NYY,Walks,MIL,0.5,demon
Anthony Volpe,MLB,NYY,Walks,MIL,0.5,demon
Jazz Chisholm Jr.,MLB,NYY,RBIs,MIL,0.5,demon
Jazz Chisholm Jr.,MLB,NYY,Hits+Runs+RBIs,MIL,0.5,goblin
William Contreras,MLB,MIL,RBIs,NYY,0.5,demon
Jazz Chisholm Jr.,MLB,NYY,Doubles,MIL,0.5,demon
Paul Goldschmidt,MLB,NYY,Doubles,MIL,0.5,demon
Sal Frelick,MLB,MIL,Doubles,NYY,0.5,demon
Vinny Capra,MLB,MIL,Total Bases,NYY,2.5,demon
Garrett Mitchell,MLB,MIL,Total Bases,NYY,1.5,demon
Cody Bellinger,MLB,NYY,Total Bases,MIL,3.5,demon
Paul Goldschmidt,MLB,NYY,Runs,MIL,1.5,demon
Joey Ortiz,MLB,MIL,Total Bases,NYY,3.5,demon
Rhys Hoskins,MLB,MIL,Total Bases,NYY,2.5,demon
Jazz Chisholm Jr.,MLB,NYY,Total Bases,MIL,3.5,demon
Rhys Hoskins,MLB,MIL,RBIs,NYY,1.5,demon
Christian Yelich,MLB,MIL,RBIs,NYY,1.5,demon
Jazz Chisholm Jr.,MLB,NYY,Runs,MIL,0.5,demon
Joey Ortiz,MLB,MIL,Walks,NYY,0.5,demon
Anthony Volpe,MLB,NYY,Total Bases,MIL,1.5,demon
Jasson Domínguez,MLB,NYY,Total Bases,MIL,1.5,demon
Christian Yelich,MLB,MIL,Total Bases,NYY,3.5,demon
Austin Wells,MLB,NYY,Total Bases,MIL,3.5,demon
Jasson Domínguez,MLB,NYY,Total Bases,MIL,2.5,demon
Aaron Judge,MLB,NYY,RBIs,MIL,2.5,demon
Aaron Judge,MLB,NYY,Doubles,MIL,0.5,demon
Brice Turang,MLB,MIL,Hits+Runs+RBIs,NYY,0.5,goblin
Rhys Hoskins,MLB,MIL,RBIs,NYY,0.5,demon
Brice Turang,MLB,MIL,RBIs,NYY,0.5,demon
Rhys Hoskins,MLB,MIL,Runs,NYY,0.5,demon
Joey Ortiz,MLB,MIL,Hits,NYY,1.5,demon
Joey Ortiz,MLB,MIL,Hits+Runs+RBIs,NYY,0.5,goblin
Cody Bellinger,MLB,NYY,Total Bases,MIL,2.5,demon
Cody Bellinger,MLB,NYY,Hits+Runs+RBIs,MIL,2.5,demon
Brice Turang,MLB,MIL,Runs,NYY,0.5,demon
Cody Bellinger,MLB,NYY,Runs,MIL,0.5,demon
William Contreras,MLB,MIL,RBIs,NYY,1.5,demon
Jackson Chourio,MLB,MIL,RBIs,NYY,1.5,demon
Garrett Mitchell,MLB,MIL,Hits,NYY,1.5,demon
Garrett Mitchell,MLB,MIL,Hits+Runs+RBIs,NYY,1.5,demon
