date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Boston Red Sox,4,0,0,0,0,0,0,.000,.000,.000,.000
2025-03-28,Boston Red Sox,2,0,0,0,0,2,0,.000,.250,.000,.250
2025-03-29,Boston Red Sox,3,1,3,1,3,0,0,.333,.500,.889,1.389
2025-03-30,Boston Red Sox,3,1,1,1,1,0,0,.333,.467,1.000,1.467
2025-03-31,Cincinnati Reds,2,0,1,0,0,0,0,.357,.471,1.000,1.471
2025-04-01,Cincinnati Reds,4,0,0,0,0,0,1,.278,.381,.778,1.159
2025-04-02,Cincinnati Reds,4,0,0,0,0,0,1,.227,.320,.636,.956
2025-04-04,Tampa Bay Rays,3,0,0,0,0,0,1,.200,.286,.560,.846
2025-04-05,Tampa Bay Rays,2,1,0,0,0,1,0,.185,.313,.519,.832
2025-04-06,Tampa Bay Rays,4,0,0,0,0,0,1,.161,.278,.452,.730
