date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Texas Rangers,4,0,0,0,0,0,1,.000,.000,.000,.000
2025-03-28,Texas Rangers,4,0,1,0,0,0,1,.125,.125,.125,.250
2025-03-29,Texas Rangers,4,0,2,0,0,1,0,.250,.308,.250,.558
2025-03-30,Texas Rangers,5,0,1,0,0,0,2,.235,.278,.235,.513
2025-03-31,Baltimore Orioles,5,0,1,0,0,0,1,.227,.261,.227,.488
2025-04-02,Baltimore Orioles,4,0,1,0,0,0,1,.231,.259,.231,.490
2025-04-03,Baltimore Orioles,5,2,3,1,3,0,2,.290,.313,.452,.765
2025-04-04,St. Louis Cardinals,4,2,2,0,1,1,1,.314,.351,.486,.837
2025-04-06,St. Louis Cardinals,4,1,0,0,0,1,2,.282,.333,.436,.769
2025-04-06,St. Louis Cardinals,5,2,4,1,6,0,0,.341,.383,.591,.974
