date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Baltimore Orioles,4,0,0,0,0,0,0,.000,.000,.000,.000
2025-03-28,Baltimore Orioles,4,1,2,0,0,1,1,.250,.333,.250,.583
2025-03-29,Baltimore Orioles,4,0,1,0,1,1,3,.250,.357,.250,.607
2025-03-30,Baltimore Orioles,3,0,0,0,0,1,2,.200,.333,.200,.533
2025-03-31,Washington Nationals,4,0,0,0,0,0,0,.158,.273,.158,.431
2025-04-01,Washington Nationals,4,0,1,0,0,0,1,.174,.269,.174,.443
2025-04-02,Washington Nationals,4,1,2,0,0,0,0,.222,.300,.259,.559
2025-04-04,New York Mets,3,0,0,0,0,1,1,.200,.294,.233,.527
2025-04-05,New York Mets,4,0,1,0,0,1,1,.206,.308,.235,.543
2025-04-06,New York Mets,2,0,0,0,0,2,1,.194,.326,.222,.548
