date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Miami Marlins,4,0,1,0,2,1,0,.250,.400,.250,.650
2025-03-28,Miami Marlins,5,0,0,0,0,0,3,.111,.200,.111,.311
2025-03-29,Miami Marlins,5,1,2,0,0,1,0,.214,.313,.214,.527
2025-03-30,Miami Marlins,4,0,1,0,0,0,2,.222,.300,.278,.578
2025-03-31,Tampa Bay Rays,4,0,0,0,0,0,2,.182,.250,.227,.477
2025-04-01,Tampa Bay Rays,4,0,2,0,0,0,1,.231,.286,.269,.555
2025-04-02,Tampa Bay Rays,5,0,0,0,0,0,1,.194,.242,.226,.468
2025-04-04,New York Yankees,5,1,1,1,1,0,3,.194,.237,.306,.543
2025-04-05,New York Yankees,3,1,0,0,0,1,1,.179,.238,.282,.520
2025-04-06,New York Yankees,5,0,1,0,2,0,2,.182,.234,.295,.529
