date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Athletics,3,0,0,0,0,1,1,.000,.250,.000,.250
2025-03-28,Athletics,3,0,0,0,0,1,2,.000,.250,.000,.250
2025-03-29,Athletics,3,0,0,0,0,1,0,.000,.250,.000,.250
2025-03-30,Athletics,3,0,1,0,0,0,0,.083,.267,.083,.350
2025-03-31,Detroit Tigers,5,1,1,1,2,0,2,.118,.250,.294,.544
2025-04-01,Detroit Tigers,3,0,0,0,0,1,1,.100,.250,.250,.500
2025-04-02,Detroit Tigers,4,0,1,0,0,0,1,.125,.250,.250,.500
2025-04-04,San Francisco Giants,4,2,1,0,0,2,0,.143,.294,.250,.544
2025-04-05,San Francisco Giants,4,0,1,0,0,0,2,.156,.289,.250,.539
2025-04-06,San Francisco Giants,4,1,3,1,1,1,0,.222,.349,.417,.766
