date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Chicago Cubs,3,0,1,0,0,1,0,.333,.600,.667,1.267
2025-03-28,Chicago Cubs,4,0,0,0,0,0,1,.143,.400,.286,.686
2025-03-29,Chicago Cubs,5,0,2,0,0,0,2,.250,.400,.333,.733
2025-03-30,Chicago Cubs,2,1,1,0,1,1,0,.286,.444,.429,.873
2025-04-01,New York Yankees,5,2,1,1,2,0,3,.263,.391,.526,.917
2025-04-02,New York Yankees,3,0,0,0,0,1,1,.227,.370,.455,.825
2025-04-03,New York Yankees,5,1,1,0,0,0,1,.222,.344,.407,.751
2025-04-04,Washington Nationals,4,2,2,2,3,1,1,.258,.378,.613,.991
2025-04-05,Washington Nationals,3,0,0,0,0,1,0,.235,.366,.559,.925
2025-04-06,Washington Nationals,5,1,3,0,0,0,1,.282,.391,.641,1.032
