date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-18,Los Angeles Dodgers,3,1,1,0,0,0,1,.333,.333,.333,.666
2025-03-19,Los Angeles Dodgers,3,0,1,0,1,1,1,.333,.429,.500,.929
2025-03-27,Arizona Diamondbacks,5,0,0,0,0,0,2,.182,.250,.273,.523
2025-03-28,Arizona Diamondbacks,3,1,1,0,0,1,0,.214,.313,.286,.599
2025-03-29,Arizona Diamondbacks,4,0,0,0,0,0,1,.167,.250,.222,.472
2025-03-30,Arizona Diamondbacks,4,1,2,1,1,0,0,.227,.292,.409,.701
2025-03-31,Athletics,5,2,2,1,3,1,0,.259,.333,.556,.889
2025-04-01,Athletics,4,0,1,0,1,0,0,.258,.324,.548,.872
2025-04-02,Athletics,5,0,0,0,0,0,3,.222,.282,.472,.754
2025-04-04,San Diego Padres,3,0,0,0,0,1,0,.205,.279,.436,.715
2025-04-05,San Diego Padres,4,2,2,1,1,1,1,.233,.313,.512,.825
2025-04-06,San Diego Padres,3,0,0,0,0,1,1,.217,.308,.478,.786
