date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Chicago Cubs,3,2,1,1,1,0,1,.333,.500,1.333,1.833
2025-03-28,Chicago Cubs,4,2,2,2,4,0,0,.429,.500,1.714,2.214
2025-03-29,Chicago Cubs,3,1,1,1,2,1,0,.400,.500,1.600,2.100
2025-03-30,Chicago Cubs,4,0,0,0,0,1,2,.286,.412,1.143,1.555
2025-04-01,New York Yankees,4,1,1,1,4,0,1,.278,.381,1.111,1.492
2025-04-02,New York Yankees,3,1,0,0,0,1,1,.238,.360,.952,1.312
2025-04-03,New York Yankees,3,0,1,0,0,1,1,.250,.379,.917,1.296
2025-04-04,Washington Nationals,4,0,0,0,0,0,2,.214,.333,.786,1.119
2025-04-05,Washington Nationals,2,0,0,0,0,2,1,.200,.351,.733,1.084
2025-04-06,Washington Nationals,4,0,0,0,0,0,1,.176,.317,.647,.964
