date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Atlanta Braves,4,2,3,0,0,0,1,.750,.750,.750,1.500
2025-03-28,Atlanta Braves,4,1,1,1,1,0,0,.500,.500,.875,1.375
2025-03-29,Atlanta Braves,4,0,1,0,0,0,0,.417,.417,.667,1.084
2025-03-30,Atlanta Braves,3,2,2,0,1,2,0,.467,.529,.733,1.262
2025-03-31,Cleveland Guardians,5,0,2,0,1,0,0,.450,.500,.650,1.150
2025-04-01,Cleveland Guardians,2,1,0,0,2,2,0,.409,.481,.591,1.072
2025-04-02,Cleveland Guardians,4,1,2,0,0,0,0,.423,.484,.577,1.061
2025-04-04,Chicago Cubs,4,0,2,0,0,0,0,.433,.486,.567,1.053
2025-04-05,Chicago Cubs,4,0,1,0,1,0,1,.412,.462,.529,.991
2025-04-06,Chicago Cubs,4,2,0,0,0,2,2,.368,.444,.474,.918
