date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,San Francisco Giants,3,0,1,0,0,1,0,.333,.500,.333,.833
2025-03-29,San Francisco Giants,4,0,0,0,0,0,2,.143,.250,.143,.393
2025-03-30,San Francisco Giants,3,1,1,0,0,0,0,.200,.273,.200,.473
2025-03-31,Texas Rangers,3,0,1,0,1,1,0,.231,.333,.308,.641
2025-04-01,Texas Rangers,3,0,1,0,0,0,0,.250,.333,.313,.646
2025-04-02,Texas Rangers,3,0,0,0,0,0,2,.211,.286,.263,.549
2025-04-03,Milwaukee Brewers,1,0,0,0,0,1,1,.200,.304,.250,.554
2025-04-04,Milwaukee Brewers,4,0,1,0,0,0,2,.208,.296,.250,.546
2025-04-05,Milwaukee Brewers,5,0,2,0,2,0,1,.241,.313,.310,.623
2025-04-06,Milwaukee Brewers,3,0,0,0,0,1,2,.219,.306,.281,.587
