date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Baltimore Orioles,3,0,0,0,0,1,2,.000,.250,.000,.250
2025-03-28,Baltimore Orioles,4,1,2,0,0,0,1,.286,.375,.286,.661
2025-03-29,Baltimore Orioles,0,0,0,0,0,1,0,.286,.444,.286,.730
2025-03-30,Baltimore Orioles,4,0,2,0,2,0,0,.364,.462,.455,.917
2025-03-31,Washington Nationals,4,0,2,0,1,0,2,.400,.471,.533,1.004
2025-04-01,Washington Nationals,3,2,2,0,1,1,1,.444,.524,.556,1.080
2025-04-02,Washington Nationals,3,1,1,1,1,1,2,.429,.520,.667,1.187
2025-04-04,New York Mets,4,0,2,0,0,0,0,.440,.517,.720,1.237
2025-04-05,New York Mets,4,0,0,0,0,0,3,.379,.455,.621,1.076
2025-04-06,New York Mets,0,0,0,0,0,0,0,.379,.455,.621,1.076
