date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Chicago Cubs,3,0,1,0,2,0,0,.333,.250,.333,.583
2025-03-28,Chicago Cubs,4,0,1,0,1,0,1,.286,.250,.286,.536
2025-03-29,Chicago Cubs,4,0,1,0,0,0,0,.273,.250,.273,.523
2025-03-30,Chicago Cubs,4,1,2,0,2,0,0,.333,.313,.400,.713
2025-04-01,New York Yankees,3,1,2,0,1,1,0,.389,.400,.444,.844
2025-04-02,New York Yankees,2,0,0,0,1,0,0,.350,.348,.400,.748
2025-04-03,New York Yankees,5,1,1,1,4,0,1,.320,.321,.480,.801
2025-04-04,Washington Nationals,4,2,3,0,0,0,0,.379,.375,.552,.927
2025-04-05,Washington Nationals,3,0,0,0,0,1,0,.344,.361,.500,.861
2025-04-06,Washington Nationals,3,0,0,0,1,1,0,.314,.341,.457,.798
