date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-18,Los Angeles Dodgers,3,0,1,0,0,1,2,.333,.500,.333,.833
2025-03-19,Los Angeles Dodgers,4,0,1,0,1,1,1,.286,.444,.286,.730
2025-03-27,Arizona Diamondbacks,5,2,2,1,3,1,1,.333,.467,.667,1.134
2025-03-28,Arizona Diamondbacks,3,0,0,0,0,1,0,.267,.421,.533,.954
2025-03-29,Arizona Diamondbacks,5,0,0,0,0,0,1,.200,.333,.400,.733
2025-03-30,Arizona Diamondbacks,4,1,1,0,0,1,3,.208,.345,.375,.720
2025-03-31,Athletics,4,1,0,0,0,2,2,.179,.343,.321,.664
2025-04-01,Athletics,4,1,0,0,1,0,0,.156,.300,.281,.581
2025-04-02,Athletics,6,1,2,0,0,0,0,.184,.304,.289,.593
2025-04-04,San Diego Padres,4,2,2,0,0,0,1,.214,.320,.310,.630
2025-04-05,San Diego Padres,4,0,1,0,0,1,2,.217,.327,.326,.653
2025-04-06,San Diego Padres,4,2,1,0,0,1,0,.220,.333,.320,.653
