date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Miami Marlins,2,1,0,0,0,2,1,.000,.500,.000,.500
2025-03-28,Miami Marlins,4,0,1,0,0,0,0,.167,.375,.167,.542
2025-03-29,Miami Marlins,3,0,2,0,0,2,0,.333,.538,.333,.871
2025-03-30,Miami Marlins,3,0,1,0,1,0,1,.333,.500,.333,.833
2025-03-31,Tampa Bay Rays,3,0,1,0,0,0,1,.333,.474,.333,.807
2025-04-01,Tampa Bay Rays,3,0,1,0,0,0,0,.333,.455,.333,.788
2025-04-02,Tampa Bay Rays,3,1,1,0,0,0,0,.333,.462,.333,.795
2025-04-04,New York Yankees,4,1,2,0,0,0,0,.360,.467,.360,.827
2025-04-05,New York Yankees,3,0,0,0,0,0,1,.321,.424,.321,.745
2025-04-06,New York Yankees,3,1,1,0,1,1,0,.323,.432,.355,.787
