date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Athletics,2,1,0,0,0,1,1,.000,.333,.000,.333
2025-03-28,Athletics,3,0,0,0,0,0,0,.000,.167,.000,.167
2025-03-29,Athletics,3,0,1,0,0,1,1,.125,.300,.125,.425
2025-03-30,Athletics,3,0,0,0,0,0,1,.091,.231,.091,.322
2025-03-31,Detroit Tigers,2,1,0,0,0,2,0,.077,.294,.077,.371
2025-04-01,Detroit Tigers,2,0,0,0,0,1,1,.067,.300,.067,.367
2025-04-02,Detroit Tigers,3,1,1,0,0,0,1,.111,.304,.111,.415
2025-04-04,San Francisco Giants,4,1,1,0,0,1,3,.136,.321,.136,.457
2025-04-05,San Francisco Giants,2,0,1,0,0,2,0,.167,.375,.167,.542
2025-04-06,San Francisco Giants,3,0,0,0,0,1,1,.148,.361,.148,.509
