date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Atlanta Braves,3,0,1,0,4,0,0,.333,.250,.333,.583
2025-03-28,Atlanta Braves,4,1,3,0,0,0,0,.571,.500,.571,1.071
2025-03-29,Atlanta Braves,2,0,1,0,0,1,1,.556,.545,.556,1.101
2025-03-30,Atlanta Braves,4,0,1,0,1,0,0,.462,.467,.538,1.005
2025-03-31,Cleveland Guardians,4,1,1,0,0,0,1,.412,.421,.471,.892
2025-04-01,Cleveland Guardians,3,2,1,1,1,1,1,.400,.435,.600,1.035
2025-04-02,Cleveland Guardians,4,1,2,1,2,0,1,.417,.444,.708,1.152
2025-04-04,Chicago Cubs,4,0,2,0,0,0,1,.429,.452,.714,1.166
2025-04-05,Chicago Cubs,4,0,0,0,0,0,0,.375,.400,.625,1.025
2025-04-06,Chicago Cubs,5,2,2,1,2,1,2,.378,.415,.676,1.091
