date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Seattle Mariners,3,0,1,0,0,0,0,.333,.333,.333,.666
2025-03-28,Seattle Mariners,4,1,1,0,0,0,0,.286,.286,.286,.572
2025-03-29,Seattle Mariners,4,1,1,0,0,0,0,.273,.273,.273,.546
2025-03-30,Seattle Mariners,4,0,1,0,0,0,0,.267,.267,.267,.534
2025-03-31,Chicago Cubs,2,1,1,1,2,0,0,.294,.294,.471,.765
2025-04-01,Chicago Cubs,3,0,1,0,0,0,0,.300,.300,.450,.750
2025-04-02,Chicago Cubs,4,0,3,0,0,0,0,.375,.375,.542,.917
2025-04-04,Colorado Rockies,5,2,2,1,3,0,0,.379,.379,.621,1.000
2025-04-05,Colorado Rockies,4,0,1,0,2,0,0,.364,.364,.606,.970
2025-04-06,Colorado Rockies,4,0,1,0,0,0,2,.351,.351,.568,.919
