date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Boston Red Sox,3,1,0,0,0,1,0,.000,.250,.000,.250
2025-03-28,Boston Red Sox,3,1,1,0,1,0,1,.167,.286,.333,.619
2025-03-29,Boston Red Sox,3,0,0,0,0,0,0,.111,.273,.222,.495
2025-03-30,Boston Red Sox,3,1,1,0,0,0,0,.167,.286,.250,.536
2025-03-31,Cincinnati Reds,4,1,1,1,2,0,1,.188,.278,.438,.716
2025-04-01,Cincinnati Reds,4,0,0,0,0,0,2,.150,.227,.350,.577
2025-04-02,Cincinnati Reds,4,0,0,0,0,0,2,.125,.192,.292,.484
2025-04-04,Tampa Bay Rays,3,0,0,0,0,0,0,.111,.172,.259,.431
2025-04-05,Tampa Bay Rays,4,1,1,1,3,0,2,.129,.182,.355,.537
2025-04-06,Tampa Bay Rays,4,0,0,0,0,0,0,.114,.162,.314,.476
