date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Atlanta Braves,4,0,0,0,0,0,2,.000,.000,.000,.000
2025-03-28,Atlanta Braves,3,1,2,1,1,1,0,.286,.375,.714,1.089
2025-03-29,Atlanta Braves,3,1,1,0,0,0,1,.300,.364,.700,1.064
2025-03-30,Atlanta Braves,3,1,0,0,0,1,3,.231,.333,.538,.871
2025-03-31,Cleveland Guardians,2,2,0,0,0,2,0,.200,.368,.467,.835
2025-04-01,Cleveland Guardians,2,1,2,0,1,0,0,.294,.429,.529,.958
2025-04-02,Cleveland Guardians,2,0,0,0,0,2,0,.263,.440,.474,.914
2025-04-04,Chicago Cubs,4,0,1,0,0,0,1,.261,.414,.478,.892
2025-04-05,Chicago Cubs,4,0,0,0,0,0,1,.222,.364,.407,.771
2025-04-06,Chicago Cubs,4,0,2,0,1,0,1,.258,.395,.419,.814
