date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Seattle Mariners,4,0,0,0,0,0,0,.000,.000,.000,.000
2025-03-28,Seattle Mariners,4,1,2,0,1,1,1,.250,.333,.250,.583
2025-03-29,Seattle Mariners,3,1,0,0,0,1,0,.182,.308,.182,.490
2025-03-30,Seattle Mariners,4,0,1,0,0,0,0,.200,.294,.267,.561
2025-03-31,Chicago Cubs,4,0,1,0,0,0,0,.211,.286,.263,.549
2025-04-01,Chicago Cubs,3,0,1,0,0,1,0,.227,.320,.273,.593
2025-04-02,Chicago Cubs,4,0,0,0,0,0,1,.192,.276,.231,.507
2025-04-04,Colorado Rockies,4,2,1,0,0,1,1,.200,.294,.233,.527
2025-04-05,Colorado Rockies,2,2,0,0,0,3,2,.188,.333,.219,.552
2025-04-06,Colorado Rockies,4,0,0,0,0,0,3,.167,.302,.194,.496
