date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Boston Red Sox,1,0,0,0,0,0,0,.000,.000,.000,.000
2025-03-28,Boston Red Sox,3,1,1,0,0,0,0,.250,.250,.250,.500
2025-03-29,Boston Red Sox,2,0,0,0,0,1,1,.167,.286,.167,.453
2025-03-30,Boston Red Sox,4,0,0,0,0,0,0,.100,.182,.100,.282
2025-03-31,Cincinnati Reds,3,0,0,0,0,0,1,.077,.143,.077,.220
2025-04-01,Cincinnati Reds,2,0,1,0,0,1,0,.133,.278,.200,.478
2025-04-02,Cincinnati Reds,4,1,1,0,0,0,1,.158,.273,.211,.484
2025-04-04,Tampa Bay Rays,3,0,0,0,0,1,0,.136,.269,.182,.451
2025-04-05,Tampa Bay Rays,3,0,0,0,0,0,1,.120,.241,.160,.401
2025-04-06,Tampa Bay Rays,3,0,0,0,0,1,2,.107,.242,.143,.385
