date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Chicago Cubs,5,0,1,0,1,0,0,.200,.200,.200,.400
2025-03-28,Chicago Cubs,4,0,1,0,1,0,0,.222,.222,.222,.444
2025-03-29,Chicago Cubs,4,1,2,0,0,0,0,.308,.308,.385,.693
2025-03-30,Chicago Cubs,2,2,2,0,1,3,0,.400,.500,.533,1.033
2025-04-01,New York Yankees,3,0,0,0,0,1,1,.333,.455,.444,.899
2025-04-02,New York Yankees,4,0,0,0,0,0,1,.273,.385,.364,.749
2025-04-03,New York Yankees,3,2,2,0,0,1,0,.320,.433,.440,.873
2025-04-04,Washington Nationals,4,0,1,0,1,0,0,.310,.412,.414,.826
2025-04-05,Washington Nationals,4,0,0,0,0,0,0,.273,.368,.364,.732
2025-04-06,Washington Nationals,3,1,1,0,0,1,1,.278,.381,.361,.742
