date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Athletics,3,0,0,0,0,1,1,.000,.250,.000,.250
2025-03-28,Athletics,4,0,1,0,0,0,3,.143,.250,.143,.393
2025-03-29,Athletics,2,0,0,0,0,2,2,.111,.385,.111,.496
2025-03-30,Athletics,3,1,1,1,2,0,0,.167,.375,.417,.792
2025-03-31,Detroit Tigers,5,2,2,0,1,0,1,.235,.381,.529,.910
2025-04-01,Detroit Tigers,2,0,0,0,0,1,1,.211,.400,.474,.874
2025-04-02,Detroit Tigers,3,0,0,0,0,1,1,.182,.379,.409,.788
2025-04-04,San Francisco Giants,6,3,3,1,1,1,0,.250,.417,.536,.953
2025-04-05,San Francisco Giants,4,0,0,0,0,0,2,.219,.375,.469,.844
2025-04-06,San Francisco Giants,5,1,1,1,1,0,0,.216,.356,.514,.870
