date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Miami Marlins,4,1,1,0,0,0,1,.250,.250,.250,.500
2025-03-28,Miami Marlins,4,0,1,0,0,0,0,.250,.250,.250,.500
2025-03-29,Miami Marlins,5,1,0,0,0,0,0,.154,.154,.154,.308
2025-03-30,Miami Marlins,0,0,0,0,0,0,0,.154,.154,.154,.308
2025-03-31,Tampa Bay Rays,3,0,0,0,0,0,0,.125,.125,.125,.250
2025-04-01,Tampa Bay Rays,4,0,2,0,0,0,1,.200,.200,.200,.400
2025-04-02,Tampa Bay Rays,4,0,1,0,0,0,0,.208,.208,.292,.500
2025-04-04,New York Yankees,4,1,1,1,3,1,0,.214,.241,.393,.634
2025-04-05,New York Yankees,3,1,2,0,1,1,0,.258,.303,.452,.755
2025-04-06,New York Yankees,4,1,1,0,0,1,2,.257,.316,.429,.745
