date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Texas Rangers,3,0,1,0,0,1,1,.333,.500,.333,.833
2025-03-28,Texas Rangers,4,0,2,0,0,0,1,.429,.500,.429,.929
2025-03-29,Texas Rangers,3,1,2,1,1,1,0,.500,.583,.900,1.483
2025-03-30,Texas Rangers,4,1,1,0,0,0,2,.429,.500,.786,1.286
2025-03-31,Baltimore Orioles,2,2,0,0,1,2,1,.375,.500,.688,1.188
2025-04-02,Baltimore Orioles,4,1,2,0,0,0,0,.400,.500,.750,1.250
2025-04-03,Baltimore Orioles,4,1,2,1,2,0,0,.417,.500,.833,1.333
2025-04-04,St. Louis Cardinals,2,3,1,0,1,2,1,.423,.515,.808,1.323
2025-04-06,St. Louis Cardinals,3,0,0,0,0,1,2,.379,.486,.724,1.210
2025-04-06,St. Louis Cardinals,4,1,1,0,0,1,0,.364,.476,.667,1.143
