date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-18,Los Angeles Dodgers,4,0,0,0,0,0,0,.000,.000,.000,.000
2025-03-19,Los Angeles Dodgers,4,0,1,0,1,1,0,.125,.222,.250,.472
2025-03-27,Arizona Diamondbacks,5,0,1,0,1,1,2,.154,.267,.231,.498
2025-03-28,Arizona Diamondbacks,3,0,0,0,0,1,1,.125,.263,.188,.451
2025-03-29,Arizona Diamondbacks,4,1,3,1,2,0,0,.250,.348,.500,.848
2025-03-30,Arizona Diamondbacks,4,1,1,1,3,1,2,.250,.357,.583,.940
2025-03-31,Athletics,7,4,4,1,3,0,0,.323,.400,.742,1.142
2025-04-01,Athletics,3,3,2,1,1,2,1,.353,.450,.853,1.303
2025-04-02,Athletics,3,1,0,0,0,2,0,.324,.444,.784,1.228
2025-04-04,San Diego Padres,2,1,0,0,0,2,0,.308,.449,.744,1.193
2025-04-05,San Diego Padres,4,0,1,0,1,1,0,.302,.444,.698,1.142
2025-04-06,San Diego Padres,4,2,2,1,3,1,0,.319,.458,.745,1.203
