date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Seattle Mariners,3,0,0,0,0,1,0,.000,.250,.000,.250
2025-03-28,Seattle Mariners,4,2,1,0,0,1,0,.143,.333,.286,.619
2025-03-29,Seattle Mariners,4,0,1,0,0,1,0,.182,.357,.273,.630
2025-03-30,Seattle Mariners,4,0,0,0,0,0,1,.133,.278,.200,.478
2025-03-31,Chicago Cubs,3,0,1,0,0,0,1,.167,.286,.278,.564
2025-04-01,Chicago Cubs,4,1,1,0,0,0,0,.182,.280,.273,.553
2025-04-02,Chicago Cubs,2,1,0,0,0,2,1,.167,.310,.250,.560
2025-04-04,Colorado Rockies,5,0,2,0,0,0,1,.207,.324,.276,.600
2025-04-05,Colorado Rockies,4,1,3,0,0,1,0,.273,.385,.364,.749
2025-04-06,Colorado Rockies,5,1,2,1,2,0,1,.289,.386,.447,.833
