date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Chicago Cubs,5,0,0,0,1,0,0,.000,.000,.000,.000
2025-03-28,Chicago Cubs,5,2,2,0,0,0,0,.200,.200,.300,.500
2025-03-29,Chicago Cubs,4,0,0,0,0,0,1,.143,.143,.214,.357
2025-03-30,Chicago Cubs,5,1,2,1,2,0,0,.211,.211,.421,.632
2025-04-01,New York Yankees,1,0,0,0,0,0,0,.200,.200,.400,.600
2025-04-02,New York Yankees,3,1,1,1,2,1,1,.217,.250,.522,.772
2025-04-03,New York Yankees,4,0,1,0,1,0,1,.222,.250,.519,.769
2025-04-04,Washington Nationals,4,0,1,0,0,0,0,.226,.250,.484,.734
2025-04-05,Washington Nationals,4,0,0,0,0,0,1,.200,.222,.429,.651
2025-04-06,Washington Nationals,4,0,0,0,0,0,2,.179,.200,.385,.585
