date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Atlanta Braves,3,3,2,0,1,1,1,.667,.750,1.333,2.083
2025-03-28,Atlanta Braves,4,0,0,0,0,0,1,.286,.375,.571,.946
2025-03-29,Atlanta Braves,2,0,0,0,0,0,0,.222,.300,.444,.744
2025-03-30,Atlanta Braves,4,0,1,0,1,0,0,.231,.286,.462,.748
2025-03-31,Cleveland Guardians,5,0,3,0,0,0,0,.333,.368,.500,.868
2025-04-01,Cleveland Guardians,3,1,2,0,0,1,0,.381,.435,.524,.959
2025-04-02,Cleveland Guardians,4,1,2,0,0,0,1,.400,.444,.520,.964
2025-04-04,Chicago Cubs,4,0,0,0,0,0,2,.345,.387,.448,.835
2025-04-05,Chicago Cubs,4,0,1,0,0,0,1,.333,.371,.424,.795
2025-04-06,Chicago Cubs,5,2,1,0,0,1,1,.316,.366,.395,.761
