date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Boston Red Sox,4,0,1,0,0,0,2,.250,.250,.250,.500
2025-03-28,Boston Red Sox,4,0,0,0,0,0,0,.125,.125,.125,.250
2025-03-29,Boston Red Sox,4,0,1,0,1,0,1,.167,.167,.167,.334
2025-03-30,Boston Red Sox,4,0,0,0,0,0,0,.125,.125,.125,.250
2025-03-31,Cincinnati Reds,3,0,0,0,0,1,2,.105,.150,.105,.255
2025-04-01,Cincinnati Reds,4,0,0,0,0,0,1,.087,.125,.087,.212
2025-04-02,Cincinnati Reds,3,0,1,0,0,1,0,.115,.179,.115,.294
2025-04-04,Tampa Bay Rays,4,1,1,0,1,0,1,.133,.188,.133,.321
2025-04-05,Tampa Bay Rays,3,1,1,1,1,1,2,.152,.222,.242,.464
2025-04-06,Tampa Bay Rays,4,0,0,0,1,0,2,.135,.200,.216,.416
