date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-18,Los Angeles Dodgers,4,0,0,0,0,0,2,.000,.000,.000,.000
2025-03-19,Los Angeles Dodgers,5,1,1,0,0,0,2,.111,.111,.111,.222
2025-03-27,Arizona Diamondbacks,4,3,1,0,0,1,1,.154,.214,.154,.368
2025-03-28,Arizona Diamondbacks,4,0,0,0,0,0,1,.118,.167,.118,.285
2025-03-29,Arizona Diamondbacks,2,1,1,1,1,0,0,.158,.200,.316,.516
2025-03-30,Arizona Diamondbacks,4,0,1,0,0,0,1,.174,.208,.348,.556
2025-03-31,Athletics,4,2,1,0,0,2,0,.185,.267,.333,.600
2025-04-01,Athletics,3,0,0,0,0,1,3,.167,.265,.300,.565
2025-04-02,Athletics,4,2,2,0,2,1,1,.206,.308,.324,.632
2025-04-04,San Diego Padres,3,0,0,0,0,1,0,.189,.302,.297,.599
2025-04-05,San Diego Padres,4,1,1,0,0,1,0,.195,.313,.293,.606
2025-04-06,San Diego Padres,1,0,0,0,0,2,1,.190,.333,.286,.619
