date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-18,Los Angeles Dodgers,3,0,0,0,0,0,0,.000,.000,.000,.000
2025-03-19,Los Angeles Dodgers,3,0,0,0,0,1,3,.000,.143,.000,.143
2025-03-27,Arizona Diamondbacks,4,1,2,0,0,1,1,.200,.333,.200,.533
2025-03-28,Arizona Diamondbacks,4,0,0,0,0,0,1,.143,.250,.143,.393
2025-03-29,Arizona Diamondbacks,3,0,2,0,0,1,0,.235,.350,.235,.585
2025-03-30,Arizona Diamondbacks,1,0,0,0,0,0,1,.222,.333,.222,.555
2025-03-31,Athletics,6,2,3,1,4,0,0,.292,.393,.417,.810
2025-04-01,Athletics,3,1,0,0,0,0,1,.259,.355,.370,.725
2025-04-04,San Diego Padres,1,0,0,0,0,1,0,.250,.364,.357,.721
2025-04-05,San Diego Padres,5,1,1,0,0,0,1,.242,.342,.364,.706
2025-04-06,San Diego Padres,1,0,0,0,0,0,1,.235,.333,.353,.686
