date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Miami Marlins,4,0,0,0,0,1,1,.000,.200,.000,.200
2025-03-28,Miami Marlins,4,2,2,1,2,1,0,.250,.400,.625,1.025
2025-03-29,Miami Marlins,2,1,0,0,0,4,1,.200,.500,.500,1.000
2025-03-30,Miami Marlins,1,0,0,0,0,0,1,.182,.471,.455,.926
2025-03-31,Tampa Bay Rays,4,0,1,0,0,0,1,.200,.429,.400,.829
2025-04-01,Tampa Bay Rays,4,0,1,0,0,0,2,.211,.400,.368,.768
2025-04-02,Tampa Bay Rays,4,1,2,1,2,0,1,.261,.400,.522,.922
2025-04-04,New York Yankees,3,0,0,0,0,1,1,.231,.382,.462,.844
2025-04-05,New York Yankees,3,1,1,0,0,1,1,.241,.395,.483,.878
2025-04-06,New York Yankees,4,0,1,0,0,1,0,.242,.395,.455,.850
