date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-18,Los Angeles Dodgers,3,0,0,0,0,0,1,.000,.000,.000,.000
2025-03-19,Los Angeles Dodgers,4,0,0,0,0,0,2,.000,.000,.000,.000
2025-03-27,Arizona Diamondbacks,4,2,1,0,0,1,0,.091,.167,.091,.258
2025-03-28,Arizona Diamondbacks,3,0,1,0,1,1,0,.143,.250,.214,.464
2025-03-29,Arizona Diamondbacks,4,1,0,0,0,0,2,.111,.200,.167,.367
2025-03-30,Arizona Diamondbacks,4,0,0,0,0,0,1,.091,.167,.136,.303
2025-03-31,Athletics,5,1,2,0,1,1,1,.148,.233,.222,.455
2025-04-01,Athletics,4,1,1,0,0,0,1,.161,.235,.226,.461
2025-04-02,Athletics,4,1,2,0,1,0,1,.200,.282,.286,.568
2025-04-04,San Diego Padres,4,0,0,0,0,0,1,.179,.256,.256,.512
2025-04-05,San Diego Padres,4,1,1,0,0,1,1,.186,.271,.256,.527
2025-04-06,San Diego Padres,3,1,0,0,0,0,1,.174,.255,.239,.494
