date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Texas Rangers,4,0,0,0,0,0,3,.000,.000,.000,.000
2025-03-28,Texas Rangers,4,0,0,0,0,0,4,.000,.000,.000,.000
2025-03-29,Texas Rangers,4,0,0,0,1,1,3,.000,.077,.000,.077
2025-03-30,Texas Rangers,4,0,0,0,0,1,2,.000,.111,.000,.111
2025-03-31,Baltimore Orioles,3,0,0,0,0,2,3,.000,.174,.000,.174
2025-04-02,Baltimore Orioles,4,0,2,0,1,0,0,.087,.222,.130,.352
2025-04-03,Baltimore Orioles,4,2,1,0,0,1,1,.111,.250,.148,.398
2025-04-04,St. Louis Cardinals,3,1,2,0,1,2,0,.167,.324,.200,.524
2025-04-06,St. Louis Cardinals,4,1,1,1,2,1,1,.176,.333,.294,.627
2025-04-06,St. Louis Cardinals,4,4,4,0,3,1,0,.263,.404,.421,.825
