date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Athletics,3,1,1,1,1,1,1,.333,.500,1.333,1.833
2025-03-28,Athletics,3,0,0,0,0,1,2,.167,.375,.667,1.042
2025-03-29,Athletics,3,1,0,0,0,1,0,.111,.333,.444,.777
2025-03-30,Athletics,3,0,0,0,0,0,1,.083,.267,.333,.600
2025-03-31,Detroit Tigers,4,1,2,1,1,1,2,.188,.350,.625,.975
2025-04-01,Detroit Tigers,3,1,0,0,0,1,0,.158,.333,.526,.859
2025-04-02,Detroit Tigers,4,0,1,0,0,0,2,.174,.321,.522,.843
2025-04-04,San Francisco Giants,5,0,0,0,1,1,3,.143,.294,.429,.723
2025-04-05,San Francisco Giants,3,0,0,0,0,1,0,.129,.289,.387,.676
2025-04-06,San Francisco Giants,5,0,1,0,1,0,3,.139,.279,.389,.668
