date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Toronto Blue Jays,5,1,1,0,0,0,2,.200,.200,.400,.600
2025-03-28,Toronto Blue Jays,4,0,0,0,0,0,1,.111,.111,.222,.333
2025-03-29,Toronto Blue Jays,0,0,0,0,0,0,0,.111,.111,.222,.333
2025-03-30,Toronto Blue Jays,4,0,1,0,0,0,1,.154,.154,.231,.385
2025-03-31,Boston Red Sox,3,2,2,0,1,1,0,.250,.294,.313,.607
2025-04-02,Boston Red Sox,4,0,1,0,0,0,0,.250,.286,.300,.586
2025-04-03,Boston Red Sox,2,0,1,0,0,0,1,.273,.304,.364,.668
2025-04-04,Kansas City Royals,3,0,0,0,0,0,1,.240,.269,.320,.589
2025-04-05,Kansas City Royals,5,2,2,0,0,0,1,.267,.290,.333,.623
2025-04-06,Kansas City Royals,4,1,3,0,0,0,0,.324,.343,.441,.784
