date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-18,Los Angeles Dodgers,4,0,0,0,0,0,1,.000,.000,.000,.000
2025-03-19,Los Angeles Dodgers,4,0,0,0,0,1,3,.000,.111,.000,.111
2025-03-27,Arizona Diamondbacks,5,1,1,0,0,0,2,.077,.143,.077,.220
2025-03-28,Arizona Diamondbacks,4,0,1,0,0,0,2,.118,.167,.176,.343
2025-03-29,Arizona Diamondbacks,4,0,0,0,0,0,3,.095,.136,.143,.279
2025-03-30,Arizona Diamondbacks,4,2,2,1,2,1,1,.160,.222,.320,.542
2025-03-31,Athletics,5,1,2,0,1,1,3,.200,.265,.367,.632
2025-04-01,Athletics,5,1,2,1,3,0,1,.229,.282,.457,.739
2025-04-02,Athletics,5,2,3,2,5,1,1,.275,.333,.625,.958
2025-04-04,San Diego Padres,3,0,0,0,0,1,1,.256,.327,.581,.908
2025-04-05,San Diego Padres,3,0,0,0,0,2,2,.239,.333,.543,.876
2025-04-06,San Diego Padres,3,1,0,0,0,2,1,.224,.339,.510,.849
