date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Miami Marlins,3,0,1,0,0,1,2,.333,.600,.667,1.267
2025-03-28,Miami Marlins,5,1,0,0,0,0,0,.125,.300,.250,.550
2025-03-29,Miami Marlins,1,0,0,0,0,0,1,.111,.273,.222,.495
2025-03-30,Miami Marlins,4,0,1,0,0,0,1,.154,.267,.231,.498
2025-03-31,Tampa Bay Rays,4,0,0,0,0,0,2,.118,.211,.176,.387
2025-04-01,Tampa Bay Rays,4,0,0,0,0,0,2,.095,.174,.143,.317
2025-04-02,Tampa Bay Rays,2,0,0,0,0,2,0,.087,.222,.130,.352
2025-04-04,New York Yankees,1,0,0,0,0,0,0,.083,.214,.125,.339
2025-04-05,New York Yankees,2,0,0,0,0,0,0,.077,.200,.115,.315
2025-04-06,New York Yankees,4,0,1,0,2,0,3,.100,.200,.133,.333
