date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Texas Rangers,3,1,0,0,0,1,2,.000,.250,.000,.250
2025-03-28,Texas Rangers,4,1,1,0,0,0,0,.143,.250,.143,.393
2025-03-29,Texas Rangers,4,0,0,0,0,0,1,.091,.167,.091,.258
2025-03-30,Texas Rangers,0,0,0,0,0,0,0,.091,.167,.091,.258
2025-03-31,Baltimore Orioles,4,0,1,0,0,0,3,.133,.188,.133,.321
2025-04-02,Baltimore Orioles,4,1,3,1,1,0,1,.263,.300,.421,.721
2025-04-03,Baltimore Orioles,4,0,0,0,0,0,2,.217,.250,.348,.598
2025-04-04,St. Louis Cardinals,5,1,2,1,3,0,1,.250,.276,.464,.740
2025-04-06,St. Louis Cardinals,4,1,1,0,0,1,1,.250,.294,.438,.732
2025-04-06,St. Louis Cardinals,4,1,1,0,0,0,0,.250,.289,.444,.733
