date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Seattle Mariners,3,2,2,2,2,0,1,.667,.667,2.667,3.334
2025-03-28,Seattle Mariners,5,0,2,0,1,0,1,.500,.500,1.375,1.875
2025-03-29,Seattle Mariners,4,0,1,0,0,0,3,.417,.417,1.000,1.417
2025-03-30,Seattle Mariners,3,1,2,1,1,1,0,.467,.500,1.133,1.633
2025-03-31,Chicago Cubs,4,0,0,0,0,0,2,.368,.400,.895,1.295
2025-04-01,Chicago Cubs,4,0,1,0,0,0,0,.348,.375,.783,1.158
2025-04-02,Chicago Cubs,4,0,0,0,0,0,1,.296,.321,.667,.988
2025-04-04,Colorado Rockies,4,1,2,0,1,1,1,.323,.364,.645,1.009
2025-04-05,Colorado Rockies,5,1,2,0,1,0,1,.333,.368,.639,1.007
2025-04-06,Colorado Rockies,3,2,2,1,2,1,0,.359,.405,.718,1.123
