date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Athletics,3,0,0,0,1,0,0,.000,.000,.000,.000
2025-03-28,Athletics,4,0,0,0,0,0,1,.000,.000,.000,.000
2025-03-29,Athletics,4,0,1,0,0,0,2,.091,.154,.182,.336
2025-03-30,Athletics,4,1,2,0,0,0,1,.200,.235,.267,.502
2025-03-31,Detroit Tigers,5,0,1,0,0,0,1,.200,.227,.300,.527
2025-04-01,Detroit Tigers,4,0,1,0,0,0,0,.208,.231,.292,.523
2025-04-02,Detroit Tigers,4,0,1,0,2,0,0,.214,.233,.321,.554
2025-04-04,San Francisco Giants,7,1,2,0,0,0,1,.229,.243,.314,.557
2025-04-05,San Francisco Giants,4,0,2,0,0,0,0,.256,.268,.333,.601
2025-04-06,San Francisco Giants,5,1,2,0,0,0,1,.273,.283,.341,.624
