date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-18,Chicago Cubs,2,0,1,0,1,3,0,.500,.800,.500,1.300
2025-03-19,Chicago Cubs,2,2,1,0,0,2,0,.500,.778,.750,1.528
2025-03-27,Detroit Tigers,3,0,1,0,0,0,1,.429,.667,.571,1.238
2025-03-28,Detroit Tigers,1,1,1,0,1,0,0,.500,.692,.625,1.317
2025-03-29,Detroit Tigers,4,1,1,1,1,0,2,.417,.588,.750,1.338
2025-03-31,Atlanta Braves,3,0,2,0,1,1,1,.467,.619,.733,1.352
2025-04-01,Atlanta Braves,2,0,1,0,1,0,1,.471,.625,.706,1.331
2025-04-02,Atlanta Braves,3,1,1,0,0,1,1,.450,.607,.650,1.257
2025-04-04,Philadelphia Phillies,2,0,0,0,0,2,1,.409,.594,.591,1.185
2025-04-06,Philadelphia Phillies,4,0,2,0,1,0,2,.423,.583,.615,1.198
