date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Texas Rangers,3,3,3,2,4,1,0,1.000,1.000,3.000,4.000
2025-03-28,Texas Rangers,3,0,2,0,1,1,0,.833,.875,1.833,2.708
2025-03-29,Texas Rangers,3,1,1,0,0,0,0,.667,.727,1.444,2.171
2025-03-30,Texas Rangers,1,1,1,0,1,3,0,.700,.800,1.500,2.300
2025-03-31,Baltimore Orioles,1,0,0,0,0,0,0,.636,.750,1.364,2.114
2025-04-02,Baltimore Orioles,3,0,0,0,0,1,1,.500,.650,1.071,1.721
2025-04-03,Baltimore Orioles,3,2,1,0,0,1,1,.471,.625,.941,1.566
2025-04-04,St. Louis Cardinals,5,2,3,1,2,0,0,.500,.621,1.000,1.621
2025-04-06,St. Louis Cardinals,1,1,1,0,1,1,0,.522,.645,1.000,1.645
2025-04-06,St. Louis Cardinals,6,0,2,0,3,0,2,.483,.595,.897,1.492
