date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Boston Red Sox,3,0,1,0,0,1,0,.333,.500,.333,.833
2025-03-28,Boston Red Sox,4,0,1,0,0,0,0,.286,.375,.286,.661
2025-03-29,Boston Red Sox,4,1,1,0,0,0,2,.273,.333,.273,.606
2025-03-30,Boston Red Sox,4,1,2,1,1,0,0,.333,.375,.533,.908
2025-03-31,Cincinnati Reds,4,0,0,0,0,0,1,.263,.300,.421,.721
2025-04-01,Cincinnati Reds,4,1,2,1,1,0,0,.304,.333,.565,.898
2025-04-02,Cincinnati Reds,3,0,0,0,0,1,1,.269,.321,.500,.821
2025-04-04,Tampa Bay Rays,2,0,0,0,1,0,0,.250,.313,.464,.777
2025-04-05,Tampa Bay Rays,3,2,1,1,2,1,1,.258,.333,.548,.881
2025-04-06,Tampa Bay Rays,3,0,0,0,0,1,1,.235,.325,.500,.825
